Município;Estado;Ano de Referência;IDHM
Belterra ;PA;2000;0,40
Beneditinos ;PI;2000;0,39
Benedito Leite ;MA;2000;0,38
Benedito Novo ;SC;2000;0,62
Benevides ;PA;2000;0,53
Benjamin Constant ;AM;2000;0,39
Benjamin Constant do Sul ;RS;2000;0,45
Bento de Abreu ;SP;2000;0,64
Bento Fernandes ;RN;2000;0,37
Bento Gonçalves ;RS;2000;0,71
Bequimão ;MA;2000;0,42
Berilo ;MG;2000;0,50
Berizal ;MG;2000;0,44
Bernardino Batista ;PB;2000;0,39
Bernardino de Campos ;SP;2000;0,64
Bernardo do Mearim ;MA;2000;0,41
Bernardo Sayão ;TO;2000;0,50
Bertioga ;SP;2000;0,63
Bertolínia ;PI;2000;0,44
Bertópolis ;MG;2000;0,44
Beruri ;AM;2000;0,34
Betânia do Piauí ;PI;2000;0,26
Betânia ;PE;2000;0,41
Betim ;MG;2000;0,61
Bezerros ;PE;2000;0,46
Bias Fortes ;MG;2000;0,52
Bicas ;MG;2000;0,67
Biguaçu ;SC;2000;0,64
Bilac ;SP;2000;0,71
Biquinhas ;MG;2000;0,56
Birigui ;SP;2000;0,70
Biritiba-Mirim ;SP;2000;0,60
Biritinga ;BA;2000;0,40
Bituruna ;PR;2000;0,53
Blumenau ;SC;2000;0,73
Boa Esperança do Iguaçu ;PR;2000;0,57
Boa Esperança do Sul ;SP;2000;0,60
Boa Esperança ;ES;2000;0,56
Boa Esperança ;MG;2000;0,62
Boa Esperança ;PR;2000;0,62
Boa Hora ;PI;2000;0,35
Boa Nova ;BA;2000;0,32
Boa Ventura de São Roque ;PR;2000;0,52
Boa Ventura ;PB;2000;0,39
Boa Viagem ;CE;2000;0,42
Boa Vista da Aparecida ;PR;2000;0,56
Boa Vista das Missões ;RS;2000;0,61
Boa Vista do Buricá ;RS;2000;0,67
Boa Vista do Cadeado ;RS;2000;0,59
Boa Vista do Gurupi ;MA;2000;0,37
Boa Vista do Incra ;RS;2000;0,64
Boa Vista do Ramos ;AM;2000;0,37
Boa Vista do Sul ;RS;2000;0,66
Boa Vista do Tupim ;BA;2000;0,37
Boa Vista ;PB;2000;0,50
Boa Vista ;RR;2000;0,65
Boca da Mata ;AL;2000;0,42
Boca do Acre ;AM;2000;0,40
Bocaina de Minas ;MG;2000;0,53
Bocaina do Sul ;SC;2000;0,51
Bocaina ;PI;2000;0,48
Bocaina ;SP;2000;0,68
Bocaiúva do Sul ;PR;2000;0,52
Bocaiúva ;MG;2000;0,58
Bodocó ;PE;2000;0,39
Bodoquena ;MS;2000;0,51
Bodó ;RN;2000;0,42
Bofete ;SP;2000;0,62
Boituva ;SP;2000;0,67
Bombinhas ;SC;2000;0,66
Bom Conselho ;PE;2000;0,40
Bom Despacho ;MG;2000;0,67
Bom Jardim da Serra ;SC;2000;0,55
Bom Jardim de Goiás ;GO;2000;0,54
Bom Jardim de Minas ;MG;2000;0,58
Bom Jardim ;MA;2000;0,33
Bom Jardim ;PE;2000;0,44
Bom Jardim ;RJ;2000;0,56
Bom Jesus da Lapa ;BA;2000;0,49
Bom Jesus da Penha ;MG;2000;0,62
Bom Jesus da Serra ;BA;2000;0,30
Bom Jesus das Selvas ;MA;2000;0,36
Bom Jesus de Goiás ;GO;2000;0,57
Bom Jesus do Amparo ;MG;2000;0,56
Bom Jesus do Araguaia ;MT;2000;0,43
Bom Jesus do Galho ;MG;2000;0,47
Bom Jesus do Itabapoana ;RJ;2000;0,63
Bom Jesus do Norte ;ES;2000;0,62
Bom Jesus do Oeste ;SC;2000;0,57
Bom Jesus dos Perdões ;SP;2000;0,62
Bom Jesus do Sul ;PR;2000;0,54
Bom Jesus do Tocantins ;PA;2000;0,43
Bom Jesus do Tocantins ;TO;2000;0,40
Bom Jesus ;PB;2000;0,42
Bom Jesus ;PI;2000;0,49
Bom Jesus ;RN;2000;0,43
Bom Jesus ;RS;2000;0,54
Bom Jesus ;SC;2000;0,55
